actor_type,sumo_id,velocity,travelled_distance,throttle,steer,brake,acceleration,acc_x,acc_y,loc_x,loc_y,heading,time_step
vehicle.mercedes.coupe_2020,vehicle0,18.72280502319336,86.0968377335212,1.0,0.07000000029802322,0.0,5.287998706380528,-3.862215042114258,-3.6119558811187744,-407.99365234375,9.56049633026123,177.28382873535156,0.023000000044703484
vehicle.audi.a2,vehicle1,21.90740966796875,65.95813690208998,1.0,0.0,0.0,3.282215127652089,3.282215118408203,0.00024633482098579407,-361.2682800292969,26.9023380279541,0.0039012860506772995,0.023000000044703484
vehicle.tesla.model3,vehicle2,41.8153190612793,163.82071788677453,1.0,0.0,0.0,3.6601198637204257,3.66011905670166,-0.00243054935708642,-284.2504577636719,37.38664627075195,-0.010650633834302425,0.023000000044703484
vehicle.audi.etron,vehicle3,29.79696273803711,129.7150802135074,1.0,0.0,0.0,2.1208887117703275,-2.1208887100219727,-8.611696830485016e-05,-425.3200988769531,5.404353618621826,179.99900817871094,0.023000000044703484
vehicle.tesla.cybertruck,vehicle4,10.93555736541748,151.50381761013534,1.0,0.0,0.0,17.09937193267872,0.18372742831707,-17.098384857177734,-463.3843994140625,14.601038932800293,-151.16383361816406,0.023000000044703484
vehicle.dodge.charger_police,vehicle5,28.557523727416992,123.66739039660297,1.0,0.0,0.0,2.5793177716012394,-2.5793159008026123,-0.00310656800866127,-468.1062316894531,15.679491996765137,-179.82077026367188,0.023000000044703484
vehicle.ford.mustang,vehicle6,0.0,3.135775885854128,0.0,0.0,0.0,0.0,0.0,0.0,-384.4994812011719,-8.499999046325684,90.00000762939453,0.023000000044703484
vehicle.audi.tt,vehicle7,0.0,3.124692475048101,0.0,0.0,0.0,0.0,0.0,0.0,-380.6995544433594,-7.39999532699585,90.00000762939453,0.023000000044703484
vehicle.mercedes.coupe_2020,vehicle0,18.807031631469727,86.52939946188575,1.0,0.07000000029802322,0.0,5.5197234128220956,-3.8493611812591553,-3.9559783935546875,-408.4252014160156,9.579259872436523,177.716064453125,0.023000000044703484
vehicle.audi.a2,vehicle1,21.980817794799805,66.46369571235299,1.0,0.0,0.0,3.191657544120532,3.191657543182373,7.738581916783005e-05,-360.76318359375,26.90237045288086,0.00393948657438159,0.023000000044703484
vehicle.tesla.model3,vehicle2,41.899784088134766,164.7844129226747,1.0,0.0,0.0,3.6544807380870323,3.65447998046875,-0.002353168558329344,-283.2874755859375,37.386478424072266,-0.010681151412427425,0.023000000044703484
vehicle.audi.etron,vehicle3,29.845590591430664,130.4015287984445,1.0,0.0,0.0,2.114254476519293,-2.1142544746398926,-8.91462987056002e-05,-426.0061950683594,5.404366493225098,179.99900817871094,0.023000000044703484
vehicle.tesla.cybertruck,vehicle4,10.515281677246094,151.74566908918206,1.0,0.0,0.0,18.335880650424123,1.9941329956054688,-18.227121353149414,-463.4488525390625,14.860648155212402,-146.93711853027344,0.023000000044703484
vehicle.dodge.charger_police,vehicle5,28.6168270111084,124.32557741913773,1.0,0.0,0.0,2.578405303218585,-2.5784034729003906,-0.0030722306109964848,-468.7640075683594,15.677412986755371,-179.82102966308594,0.023000000044703484
vehicle.ford.mustang,vehicle6,0.0,3.135775885854128,0.0,0.0,0.0,0.0,0.0,0.0,-384.4994812011719,-8.499999046325684,90.00000762939453,0.023000000044703484
vehicle.audi.tt,vehicle7,0.0,3.124692475048101,0.0,0.0,0.0,0.0,0.0,0.0,-380.6995544433594,-7.39999532699585,90.00000762939453,0.023000000044703484
vehicle.mercedes.coupe_2020,vehicle0,18.89091682434082,86.96389054969008,1.0,0.07000000029802322,0.0,5.772605803319456,-3.8277997970581055,-4.320986747741699,-408.8586730957031,9.5957612991333,178.17758178710938,0.023000000044703484
vehicle.audi.a2,vehicle1,22.051916122436523,66.97088978415482,1.0,0.0,0.0,3.0907342980070984,3.0907340049743652,0.001345872413367033,-360.25640869140625,26.902400970458984,0.003981657326221466,0.023000000044703484
vehicle.tesla.model3,vehicle2,41.98407745361328,165.75004670598463,1.0,0.0,0.0,3.6369000408735963,3.63689923286438,-0.002424313686788082,-282.3226013183594,37.38630676269531,-0.010742186568677425,0.023000000044703484
vehicle.audi.etron,vehicle3,29.89406394958496,131.08909227062134,1.0,0.0,0.0,2.1075372714903287,-2.107537269592285,-8.944492583395913e-05,-426.693359375,5.404379367828369,179.99900817871094,0.023000000044703484
vehicle.tesla.cybertruck,vehicle4,10.06410026550293,151.97714339573852,1.0,0.0,0.0,19.688431375320363,2.4965224266052246,-19.529508590698242,-463.5126037597656,15.108028411865234,-142.81088256835938,0.023000000044703484
vehicle.dodge.charger_police,vehicle5,28.660396575927734,124.9847665416653,1.0,0.0,0.0,1.8943290242065454,-1.8943288326263428,-0.0008519576513208449,-469.4230041503906,15.67533016204834,-179.82125854492188,0.023000000044703484
vehicle.ford.mustang,vehicle6,0.0,3.135775885854128,0.0,0.0,0.0,0.0,0.0,0.0,-384.4994812011719,-8.499999046325684,90.00000762939453,0.023000000044703484
vehicle.audi.tt,vehicle7,0.0,3.124692475048101,0.0,0.0,0.0,0.0,0.0,0.0,-380.6995544433594,-7.39999532699585,90.00000762939453,0.023000000044703484
