actor_type,sumo_id,velocity,travelled_distance,throttle,steer,brake,acceleration,acc_x,acc_y,loc_x,loc_y,heading,time_step,time
vehicle.audi.tt,vehicle7,2.479400634765625,0.336973053961292,0.0,0.0,0.0,0.0,0.0,0.0,-380.6999816894531,-7.399999618530273,89.99998474121094,0.023000000044703484,1.6560000032186508
vehicle.mercedes.coupe_2020,vehicle0,2.704800605773926,0.3991834680150063,1.0,0.0,0.0,0.0,0.0,0.0,-426.5,30.399999618530273,0.0,0.023000000044703484,1.6790000032633543
vehicle.audi.a2,vehicle1,2.704800605773926,0.3991834680150063,0.6000000238418579,0.0,0.0,0.0,0.0,0.0,-426.3999938964844,26.899999618530273,0.0,0.023000000044703484,1.7020000033080578
vehicle.tesla.model3,vehicle2,2.704800605773926,0.3991834680150063,1.0,0.0,0.0,0.0,0.0,0.0,-447.1999816894531,37.400001525878906,0.0,0.023000000044703484,1.7250000033527613
vehicle.audi.etron,vehicle3,2.704800605773926,0.3991834680150063,1.0,0.0,0.0,0.0,0.0,0.0,-298.20001220703125,5.400000095367432,-179.99996948242188,0.023000000044703484,1.7480000033974648
vehicle.tesla.cybertruck,vehicle4,2.704800605773926,0.3991834680150063,1.0,0.0,0.0,0.0,0.0,0.0,-315.8999938964844,13.0,-179.99996948242188,0.023000000044703484,1.7710000034421682
vehicle.dodge.charger_police,vehicle5,2.704800605773926,0.3991834680150063,1.0,0.0,0.0,0.0,0.0,0.0,-347.6999816894531,16.100000381469727,-179.99996948242188,0.023000000044703484,1.7940000034868717
vehicle.ford.mustang,vehicle6,2.704800605773926,0.3991834680150063,0.0,0.0,0.0,0.0,0.0,0.0,-384.5,-8.5,89.99998474121094,0.023000000044703484,1.8170000035315752
vehicle.audi.tt,vehicle7,2.704800605773926,0.3991834680150063,0.0,0.0,0.0,0.0,0.0,0.0,-380.6999816894531,-7.399999618530273,89.99998474121094,0.023000000044703484,1.8400000035762787
vehicle.mercedes.coupe_2020,vehicle0,2.621875286102295,0.45948659971256606,1.0,0.0,0.0,4.08662740328146e-07,3.742418641650147e-08,-4.069455314947845e-07,-426.5,30.399999618530273,0.0,0.023000000044703484,1.8630000036209822
